claim_amount,policy_age_days,claim_frequency_12m,days_since_inception,premium_paid,sum_assured,policyholder_age,num_policies,num_past_claims,claim_to_premium_ratio,is_high_risk_state,product_type,has_telematics,claim_filed_weekend,claim_filed_night,multiple_claims_same_period,address_change_before_claim,beneficiary_change_before_claim,late_premium_payments,claim_docs_submitted_count,kyc_verification_score,agent_fraud_history_score,is_fraud
342857.86,344,2,1364,1031.86,3047290.91,65,2,1,331.95,1,6,0,0,1,0,0,0,0,1,64.0,77.3,0
132270.39,715,3,1958,48709.5,138238.82,30,2,2,2.7154,0,5,1,1,0,0,0,0,2,9,42.8,73.5,0
429996.7,244,2,3448,39441.91,885837.0,74,7,2,10.9017,0,6,0,0,0,0,0,0,0,2,85.3,72.9,0
1598449.71,538,0,1708,7963.1,78796.14,57,7,0,200.7069,1,3,0,0,0,0,0,0,2,1,80.5,59.1,0
114550.37,3467,4,717,57596.83,7200039.75,65,1,1,1.9888,0,4,0,1,0,0,0,0,0,9,54.4,92.3,0
114553.19,276,1,3323,20701.28,16832991.62,31,3,1,5.5334,1,4,0,0,0,0,0,0,2,2,98.7,85.6,0
1738997.27,1836,2,167,9525.13,175481.85,49,6,1,182.5502,0,2,0,0,0,0,0,0,4,9,91.2,70.1,0
514603.56,2722,2,2312,24039.04,393929.06,71,6,0,21.4061,0,0,0,0,0,0,0,0,2,3,61.5,87.0,0
80481.97,3172,1,2619,11429.93,174939.0,49,1,1,7.0407,0,6,0,0,0,0,0,0,1,9,87.3,72.6,0
367265.41,1540,1,1919,5455.99,60645261.33,38,7,1,67.3018,0,0,1,1,0,0,0,0,1,4,74.1,50.3,0
81216.48,1114,1,1699,19641.86,2917446.44,24,3,1,4.1347,0,0,0,1,0,0,0,0,2,2,86.7,97.0,0
80935.3,1678,1,1788,23180.7,3579119.57,73,5,0,3.4913,0,4,0,0,1,0,0,0,1,5,66.1,88.3,0
233968.88,1882,2,1097,16036.11,116246.94,66,5,0,14.5892,0,7,1,0,0,0,0,0,3,6,76.5,85.1,0
9228.76,2445,0,375,52902.26,232762.44,74,2,0,0.1744,1,1,0,0,0,0,0,0,2,7,87.1,85.8,0
12241.94,602,0,811,17856.98,371000.93,67,2,3,0.6855,1,0,0,0,1,0,0,0,5,9,91.4,93.2,0
70022.28,2089,2,1456,43241.23,14091047.38,74,5,1,1.6193,0,5,1,1,0,0,1,0,3,8,66.4,63.5,0
35623.23,3023,0,3207,22123.77,1542213.23,34,2,1,1.6101,0,3,0,0,0,0,0,0,1,2,69.4,88.1,0
260763.98,2651,0,2564,105737.75,1436969.79,67,3,3,2.4661,0,6,0,0,0,0,0,0,2,4,73.2,82.9,0
41687.8,3513,3,2896,9409.21,1651322.89,55,4,1,4.4301,0,2,0,0,0,0,0,0,0,5,76.1,91.3,0
19565.92,3543,1,1392,34322.56,7290435.1,49,1,0,0.57,0,5,0,0,0,0,0,0,1,1,64.4,54.0,0
1466623.17,534,1,3082,28823.7,2386563.93,64,7,1,50.8808,0,7,0,0,0,1,0,0,1,2,76.6,88.5,1
115998.85,2698,3,3121,36750.29,8979641.51,69,3,1,3.1563,0,4,0,0,0,0,1,0,3,5,61.7,74.5,0
180104.46,1074,1,1261,16607.72,1259857.92,39,1,1,10.844,0,0,1,0,0,0,0,0,2,2,84.7,88.0,0
19204.07,1636,1,1484,92615.27,1204981.17,37,3,1,0.2074,0,4,1,1,0,0,0,0,0,5,86.8,69.6,0
71928.36,272,1,1718,8515.85,1084087.34,25,6,1,8.4454,1,4,0,0,0,0,0,0,2,2,54.7,79.7,0
192217.7,2016,1,1744,10561.44,604552.86,67,4,0,18.1982,1,6,0,0,1,0,0,0,3,6,36.3,94.4,1
28955.33,1507,0,711,4255.43,431897.43,34,1,1,6.8027,0,3,0,0,0,0,0,0,2,1,82.5,74.2,0
285942.79,2544,1,130,45115.35,1088150.46,32,7,0,6.3379,1,4,0,0,1,0,0,0,0,2,73.6,80.3,0
66107.8,3012,3,2220,41090.4,837344.76,58,5,0,1.6088,0,7,0,1,1,0,0,0,2,1,40.7,63.7,0
105078.12,1495,4,2455,52173.46,178112.62,29,4,1,2.014,0,0,0,1,0,0,0,0,1,8,86.0,82.4,0
66001.98,323,0,2844,8292.67,2449863.14,58,4,0,7.9581,0,7,0,0,0,1,0,0,6,4,69.4,91.1,0
